"","edibility","cap_shape","cap_surface","cap_color","bruises","odor","gill_attachement","gill_spacing","gill_size","gill_color","stalk_shape","stalk_root","stalk_surface_above_ring","stalk_surface_below_ring","stalk_color_above_ring","stalk_color_below_ring","veil_type","veil_color","ring_number","ring_type","spore_print_color","population","habitat"
"20","poisonous","convex","scaly","brown","yes","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","urban"
"21","edible","bell","scaly","yellow","yes","almond","free","close","broad","black","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","meadows"
"22","poisonous","convex","smooth","brown","yes","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","grasses"
"23","edible","bell","smooth","yellow","yes","anise","free","close","broad","black","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","meadows"
"24","edible","bell","smooth","white","yes","almond","free","close","broad","white","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","meadows"
"25","edible","bell","scaly","white","yes","anise","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","meadows"
"26","poisonous","flat","scaly","white","yes","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","grasses"
"27","edible","convex","smooth","yellow","yes","almond","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","meadows"
"28","edible","convex","smooth","white","yes","anise","free","close","broad","white","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","meadows"
"29","edible","flat","fibrous","brown","no","none","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","solitary","urban"
"30","edible","convex","scaly","yellow","yes","almond","free","crowded","narrow","brown","tapering","bulbous","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","wood"
"31","edible","bell","scaly","yellow","yes","anise","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","meadows"
"32","poisonous","convex","smooth","white","yes","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","urban"
"33","edible","convex","smooth","yellow","yes","anise","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","meadows"
"34","edible","convex","smooth","brown","yes","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","brown","solitary","paths"
"35","edible","bell","smooth","yellow","yes","anise","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","meadows"
"36","edible","convex","fibrous","yellow","yes","anise","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","wood"
"37","edible","sunken","fibrous","gray","no","none","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","several","urban"
"38","poisonous","convex","smooth","brown","yes","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","urban"
"39","edible","convex","fibrous","yellow","yes","almond","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","wood"
"40","edible","bell","scaly","yellow","yes","anise","free","close","broad","black","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","meadows"
"41","edible","bell","smooth","yellow","yes","almond","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"42","edible","convex","smooth","yellow","yes","anise","free","close","broad","brown","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","black","solitary","paths"
"43","edible","convex","fibrous","brown","no","none","free","close","narrow","gray","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","solitary","urban"
"44","poisonous","convex","smooth","white","yes","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","grasses"
"45","edible","convex","scaly","yellow","yes","almond","free","close","broad","white","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","meadows"
"46","edible","convex","smooth","white","yes","almond","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","grasses"
"47","edible","convex","smooth","yellow","yes","anise","free","close","broad","black","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","meadows"
"48","edible","convex","scaly","white","yes","anise","free","close","broad","white","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","meadows"
"49","edible","convex","smooth","yellow","yes","anise","free","close","broad","brown","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","brown","scattered","paths"
"50","edible","flat","smooth","yellow","yes","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","black","scattered","paths"
"51","edible","convex","smooth","brown","yes","almond","free","close","broad","white","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","black","scattered","grasses"
"52","edible","convex","scaly","white","yes","anise","free","close","broad","black","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","grasses"
"53","edible","bell","scaly","white","yes","anise","free","close","broad","black","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","meadows"
"54","poisonous","convex","smooth","brown","yes","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","urban"
"55","poisonous","convex","scaly","white","yes","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","several","urban"
"56","edible","bell","smooth","yellow","yes","almond","free","close","broad","white","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","meadows"
"57","edible","flat","fibrous","gray","no","none","free","crowded","broad","brown","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"58","edible","bell","scaly","white","yes","almond","free","close","broad","white","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","grasses"
"59","edible","convex","scaly","yellow","yes","anise","free","close","broad","black","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","grasses"
"60","edible","convex","smooth","brown","yes","almond","free","close","broad","pink","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","black","solitary","paths"
"61","edible","sunken","fibrous","gray","no","none","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","urban"
"62","edible","bell","smooth","yellow","yes","almond","free","close","broad","black","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","meadows"
"63","edible","bell","scaly","yellow","yes","anise","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","meadows"
"64","edible","bell","smooth","yellow","yes","anise","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","meadows"
"65","edible","bell","smooth","white","yes","anise","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"66","edible","flat","scaly","brown","no","none","free","crowded","broad","black","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"67","edible","convex","scaly","white","yes","anise","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","grasses"
"68","edible","flat","smooth","yellow","yes","almond","free","close","broad","white","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"69","edible","convex","smooth","yellow","yes","almond","free","close","broad","white","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","grasses"
"70","edible","convex","fibrous","gray","no","none","free","close","narrow","pink","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","urban"
"71","edible","flat","fibrous","yellow","yes","anise","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","wood"
"72","edible","bell","smooth","white","yes","anise","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","meadows"
"73","edible","flat","fibrous","yellow","yes","anise","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","wood"
"74","edible","convex","smooth","brown","yes","almond","free","close","broad","pink","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","black","scattered","paths"
"75","edible","bell","scaly","yellow","yes","almond","free","close","broad","black","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","grasses"
"76","edible","flat","scaly","yellow","yes","anise","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","wood"
"77","edible","convex","scaly","white","yes","anise","free","crowded","narrow","brown","tapering","bulbous","smooth","smooth","purple","purple","partial","white","one","pendant","purple","several","wood"
"78","edible","flat","smooth","brown","yes","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","brown","solitary","paths"
"79","poisonous","convex","smooth","brown","yes","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","urban"
"80","edible","flat","smooth","brown","yes","almond","free","close","broad","brown","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","brown","solitary","grasses"
"81","edible","convex","scaly","brown","no","none","free","crowded","broad","black","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"82","poisonous","convex","smooth","white","yes","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","grasses"
"83","edible","flat","fibrous","gray","no","none","free","close","narrow","brown","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","solitary","urban"
"84","edible","convex","fibrous","gray","no","none","free","crowded","broad","brown","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"85","edible","convex","smooth","yellow","yes","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","black","scattered","grasses"
"86","edible","convex","scaly","brown","no","none","free","crowded","broad","black","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"87","edible","bell","scaly","white","yes","almond","free","close","broad","white","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","grasses"
"88","edible","convex","scaly","white","yes","anise","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"89","edible","flat","smooth","brown","yes","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","black","solitary","grasses"
"90","edible","sunken","fibrous","brown","no","none","free","close","narrow","brown","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","urban"
"91","edible","convex","fibrous","brown","no","none","free","close","narrow","brown","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","solitary","urban"
"92","edible","bell","scaly","white","yes","anise","free","close","broad","black","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","grasses"
"93","edible","convex","smooth","yellow","yes","almond","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","grasses"
"94","edible","convex","smooth","yellow","yes","anise","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","meadows"
"95","edible","convex","scaly","brown","no","none","free","crowded","broad","brown","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"96","edible","convex","scaly","white","yes","almond","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"97","edible","flat","smooth","brown","yes","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"98","edible","convex","scaly","yellow","yes","almond","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","grasses"
"99","edible","bell","scaly","white","yes","almond","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"100","edible","convex","smooth","white","yes","almond","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","grasses"
"101","edible","convex","fibrous","brown","no","none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"102","edible","bell","scaly","yellow","yes","anise","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","grasses"
"103","edible","flat","smooth","yellow","yes","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"104","edible","convex","smooth","yellow","yes","almond","free","close","broad","brown","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","black","solitary","paths"
"105","edible","bell","smooth","white","yes","anise","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","grasses"
"106","edible","convex","smooth","yellow","yes","almond","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","meadows"
"107","edible","convex","smooth","yellow","yes","almond","free","close","broad","white","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","brown","solitary","grasses"
"108","edible","bell","smooth","white","yes","anise","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","meadows"
"109","edible","bell","smooth","white","yes","almond","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","meadows"
"110","edible","convex","scaly","yellow","yes","almond","free","close","broad","black","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","meadows"
"111","edible","convex","scaly","yellow","yes","anise","free","close","broad","white","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","grasses"
"112","edible","sunken","fibrous","gray","no","none","free","close","narrow","gray","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","solitary","urban"
"113","edible","convex","fibrous","white","yes","almond","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","purple","purple","partial","white","one","pendant","purple","several","wood"
"114","edible","convex","scaly","yellow","yes","almond","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","meadows"
"115","poisonous","convex","smooth","white","yes","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","urban"
"116","edible","convex","smooth","yellow","yes","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"117","edible","sunken","fibrous","gray","no","none","free","close","narrow","pink","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","solitary","urban"
"118","edible","convex","smooth","yellow","yes","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","black","solitary","grasses"
"119","edible","convex","scaly","yellow","yes","anise","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","purple","purple","partial","white","one","pendant","purple","several","wood"
"120","edible","sunken","fibrous","brown","no","none","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","solitary","urban"
"121","poisonous","convex","scaly","white","yes","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","several","grasses"
"122","edible","convex","smooth","white","yes","almond","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","meadows"
"123","poisonous","flat","smooth","brown","yes","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","several","grasses"
"124","edible","flat","scaly","gray","no","none","free","crowded","broad","black","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"125","edible","convex","scaly","yellow","yes","anise","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","meadows"
"126","edible","convex","scaly","white","no","none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"127","edible","bell","scaly","yellow","yes","almond","free","close","broad","white","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","grasses"
"128","edible","flat","fibrous","gray","no","none","free","crowded","broad","chocolate","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"129","edible","convex","scaly","white","yes","anise","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","grasses"
"130","edible","bell","scaly","white","yes","anise","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","meadows"
"131","edible","bell","scaly","white","yes","anise","free","close","broad","white","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"132","edible","bell","smooth","white","yes","anise","free","close","broad","white","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","meadows"
"133","edible","flat","scaly","white","yes","anise","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","purple","purple","partial","white","one","pendant","purple","several","wood"
"134","edible","convex","smooth","yellow","yes","anise","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","meadows"
"135","edible","flat","scaly","white","yes","almond","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","wood"
"136","poisonous","convex","smooth","white","yes","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","urban"
"137","edible","flat","fibrous","white","yes","anise","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","wood"
"138","edible","convex","smooth","yellow","yes","almond","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"139","poisonous","convex","scaly","brown","yes","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","grasses"
"140","edible","bell","scaly","yellow","yes","anise","free","close","broad","white","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","grasses"
"141","edible","convex","smooth","brown","yes","almond","free","close","broad","white","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","black","solitary","paths"
"142","edible","bell","smooth","yellow","yes","anise","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","meadows"
"143","edible","sunken","fibrous","brown","no","none","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","urban"
"144","edible","flat","smooth","brown","yes","almond","free","close","broad","white","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","black","solitary","paths"
"145","edible","convex","smooth","yellow","yes","almond","free","close","broad","black","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","grasses"
"146","edible","convex","fibrous","gray","no","none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"147","edible","flat","fibrous","white","no","none","free","crowded","broad","black","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"148","edible","convex","smooth","yellow","yes","anise","free","close","broad","white","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","meadows"
"149","edible","bell","scaly","yellow","yes","anise","free","close","broad","black","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","grasses"
"150","edible","bell","smooth","white","yes","almond","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","meadows"
"151","edible","convex","smooth","white","yes","almond","free","close","broad","white","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"152","edible","convex","scaly","brown","no","none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"153","edible","convex","smooth","white","yes","anise","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"154","edible","sunken","fibrous","brown","no","none","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","several","urban"
"155","edible","convex","scaly","white","yes","almond","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","purple","purple","partial","white","one","pendant","purple","several","wood"
"156","edible","convex","smooth","brown","yes","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","black","scattered","grasses"
"157","edible","bell","smooth","yellow","yes","almond","free","close","broad","black","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","grasses"
"158","edible","convex","smooth","white","yes","almond","free","close","broad","black","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","grasses"
"159","edible","bell","smooth","white","yes","almond","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","meadows"
"160","edible","bell","scaly","yellow","yes","almond","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","grasses"
"161","edible","bell","scaly","yellow","yes","anise","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","meadows"
"162","edible","bell","smooth","yellow","yes","almond","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","grasses"
"163","edible","convex","fibrous","brown","no","none","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","solitary","urban"
"164","edible","flat","smooth","brown","yes","anise","free","close","broad","brown","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","brown","solitary","grasses"
"165","edible","convex","smooth","white","yes","almond","free","close","broad","black","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"166","edible","flat","smooth","yellow","yes","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","brown","solitary","paths"
"167","edible","bell","scaly","white","yes","almond","free","close","broad","white","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"168","edible","bell","scaly","white","yes","almond","free","close","broad","white","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","meadows"
"169","edible","convex","smooth","brown","yes","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","black","solitary","grasses"
"170","edible","bell","scaly","white","yes","almond","free","close","broad","black","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","grasses"
"171","edible","convex","fibrous","gray","no","none","free","close","narrow","gray","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","solitary","urban"
"172","edible","bell","scaly","yellow","yes","anise","free","close","broad","black","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"173","edible","convex","fibrous","yellow","yes","anise","free","crowded","narrow","brown","tapering","bulbous","smooth","smooth","purple","purple","partial","white","one","pendant","purple","several","wood"
"174","edible","bell","smooth","yellow","yes","almond","free","close","broad","white","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","grasses"
"175","edible","flat","smooth","yellow","yes","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"176","edible","bell","smooth","white","yes","anise","free","close","broad","white","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","meadows"
"177","edible","bell","smooth","white","yes","almond","free","close","broad","black","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","meadows"
"178","edible","bell","smooth","yellow","yes","almond","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"179","edible","convex","smooth","yellow","yes","anise","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","meadows"
"180","edible","bell","scaly","yellow","yes","anise","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","grasses"
