Functional,BldgType,Foundation,LotShape,LandSlope,SaleCondition,RoofMatl,ScreenPorch,MSSubClass,GarageCars,Id,BedroomAbvGr,TotalBsmtSF,LotArea,OpenPorchSF,BsmtFullBath,WoodDeckSF,OverallCond,YrSold,GrLivArea,MoSold,TotRmsAbvGrd,PoolArea,YearBuilt,GarageArea,OverallQual,Fireplaces,SalePrice,EnclosedPorch,FullBath,HalfBath
Min2,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,50,1,188,3,660,10410,0,0,0,7,2009,1656,8,8,0,1916,180,5,0,135000,0,2,1
Typ,Duplex,CBlock,Reg,Gtl,Alloca,CompShg,0,90,2,189,2,1086,7018,0,2,120,5,2009,1224,6,6,0,1979,528,5,2,153337,0,0,2
Min2,1Fam,CBlock,IR1,Gtl,Normal,CompShg,0,20,1,207,3,1140,13673,30,0,0,5,2007,1696,3,8,0,1962,349,5,1,143900,0,1,1
Typ,1Fam,PConc,Reg,Gtl,Partial,CompShg,0,60,2,213,3,900,8640,108,1,168,5,2009,1852,7,7,0,2009,644,7,1,252678,0,2,1
Typ,1Fam,CBlock,Reg,Gtl,Abnorml,CompShg,0,20,2,224,2,864,10500,0,0,216,6,2009,864,3,4,0,1971,576,4,0,97000,0,1,0
Typ,1Fam,PConc,IR1,Gtl,Abnorml,CompShg,0,60,3,227,4,1203,9950,114,0,224,5,2007,2520,6,9,0,1995,721,7,1,290000,0,2,1
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,20,1,234,3,894,10650,0,1,365,6,2010,894,2,5,0,1976,308,5,0,128200,0,1,0
Typ,1Fam,PConc,Reg,Gtl,Normal,CompShg,0,60,2,235,4,860,7851,48,1,288,5,2010,1960,5,8,0,2002,440,6,2,216500,0,2,1
Typ,1Fam,PConc,Reg,Gtl,Partial,CompShg,0,20,3,239,3,1694,12030,228,0,168,5,2007,1694,12,7,0,2007,818,8,0,318000,0,2,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,50,1,240,3,735,8741,140,0,0,4,2010,1487,4,7,0,1945,220,6,1,113000,0,1,1
Typ,1Fam,BrkTil,Reg,Gtl,Normal,CompShg,0,50,1,243,3,540,5000,0,0,0,4,2006,1440,4,6,0,1900,352,5,0,79000,77,1,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,20,2,248,2,1367,11310,30,0,0,5,2006,1375,6,5,0,1954,451,6,1,140000,0,1,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,80,2,261,3,1362,19296,0,1,0,5,2009,1382,5,6,0,1962,884,6,1,176000,252,1,0
Typ,1Fam,PConc,IR1,Gtl,Partial,CompShg,0,60,3,262,3,1482,9588,148,0,0,5,2007,2574,11,10,0,2007,868,8,1,276000,0,2,1
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,30,1,269,2,740,6900,25,0,0,6,2008,778,2,4,0,1940,924,5,1,120500,0,1,0
Mod,1Fam,CBlock,IR1,Sev,Normal,Membran,0,20,2,272,2,1385,39104,0,1,81,7,2008,1363,4,5,0,1954,439,7,2,241500,0,1,0
Min1,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,20,1,274,3,1240,9600,0,1,289,6,2009,1632,4,6,0,1958,338,6,1,139000,0,2,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,60,2,281,3,807,11287,84,0,0,6,2007,1982,1,7,0,1989,575,7,1,228500,0,2,1
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,20,2,295,3,1416,9600,0,1,110,5,2009,1644,10,7,0,1953,418,6,2,167000,0,1,0
Typ,1Fam,PConc,Reg,Mod,Normal,CompShg,0,60,3,319,4,1347,9900,60,1,340,5,2009,2646,4,9,0,1993,656,7,1,260000,144,2,1
Typ,1Fam,BrkTil,IR1,Gtl,Normal,CompShg,0,75,2,329,5,844,11888,60,0,0,6,2009,2134,7,10,0,1916,441,6,0,214500,268,2,0
Typ,TwnhsE,PConc,Reg,Gtl,Normal,CompShg,0,120,2,334,2,1358,8198,30,1,192,5,2008,1358,7,6,0,2004,484,7,1,207000,0,2,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,20,2,339,3,1208,14145,45,1,108,7,2006,1621,5,8,0,1984,440,7,0,202500,0,2,0
Typ,TwnhsE,CBlock,Reg,Gtl,Normal,CompShg,0,160,1,345,3,536,2592,0,0,182,3,2010,1112,4,4,0,1976,336,5,0,85000,0,1,1
Typ,TwnhsE,PConc,Reg,Gtl,Normal,CompShg,0,120,2,358,3,1142,4224,90,1,536,5,2007,1142,8,6,0,1976,528,5,1,134000,0,1,1
Typ,1Fam,CBlock,IR1,Gtl,Normal,CompShg,192,85,2,361,2,888,7540,0,1,0,6,2007,912,6,5,0,1978,470,6,1,156000,0,1,0
Typ,1Fam,Slab,Reg,Gtl,Normal,CompShg,0,85,2,363,4,0,7301,0,0,0,5,2009,1922,7,7,0,2003,672,7,1,198500,177,3,0
Typ,1Fam,PConc,IR1,Gtl,Normal,CompShg,0,60,2,365,3,796,18800,111,1,306,5,2006,1574,7,6,0,1976,566,6,1,190000,0,2,1
Min2,1Fam,PConc,Reg,Gtl,Normal,CompShg,0,20,1,374,3,608,10634,0,1,66,6,2009,1319,11,5,0,1953,270,5,0,123000,0,1,0
Typ,1Fam,BrkTil,Reg,Gtl,Normal,CompShg,0,50,1,381,3,1026,5000,0,0,0,6,2010,1691,5,6,0,1924,308,5,1,127000,242,2,0
Typ,1Fam,PConc,Reg,Gtl,AdjLand,CompShg,0,50,0,387,5,658,8410,151,0,0,3,2006,1184,5,8,0,1910,0,5,0,81000,0,1,0
Typ,1Fam,CBlock,Reg,Gtl,Abnorml,CompShg,0,30,0,394,2,788,7446,0,0,0,5,2006,788,4,4,0,1941,0,4,2,100000,0,1,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,20,2,397,2,894,7200,0,0,215,5,2009,894,9,6,0,1972,600,5,0,123000,0,1,0
Typ,1Fam,PConc,Reg,Gtl,Abnorml,CompShg,0,60,2,404,4,1141,12090,123,0,144,5,2006,2263,7,10,0,1998,420,8,1,258000,0,2,1
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,30,2,414,2,1008,8960,0,0,0,6,2010,1028,3,5,0,1927,360,5,1,115000,130,1,0
Typ,1Fam,BrkTil,Reg,Gtl,AdjLand,CompShg,0,50,1,419,3,756,8160,0,1,0,6,2007,1134,4,7,0,1940,240,5,0,126000,0,1,1
Typ,1Fam,CBlock,Reg,Mod,Normal,CompShg,0,20,2,423,2,988,21750,0,0,0,5,2008,988,2,4,0,1954,520,5,0,113000,0,1,0
Typ,1Fam,PConc,Reg,Mod,Normal,CompShg,396,80,2,427,2,1518,12800,0,1,80,5,2009,1644,8,5,0,1989,569,7,1,275000,0,2,0
Typ,1Fam,PConc,Reg,Gtl,Partial,CompShg,0,20,2,429,2,1208,6762,54,1,105,5,2007,1208,9,6,0,2007,628,7,0,195400,0,2,0
Typ,1Fam,BrkTil,IR1,Gtl,Abnorml,CompShg,0,50,0,432,4,901,5586,98,0,0,7,2008,1198,9,7,0,1920,0,6,0,79900,0,1,0
Typ,1Fam,PConc,IR1,Gtl,Normal,CompShg,0,60,2,448,4,930,11214,0,0,89,5,2006,1886,7,10,0,1998,431,7,1,199900,0,2,1
Typ,1Fam,BrkTil,Reg,Gtl,Abnorml,CompShg,0,70,3,457,4,624,4571,0,0,0,5,2008,1344,5,7,0,1916,513,5,0,98000,96,1,0
Typ,TwnhsE,PConc,Reg,Gtl,Normal,CompShg,0,120,2,466,2,1375,3072,20,0,144,5,2006,1414,5,6,0,2004,398,7,1,178740,0,2,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,70,1,468,3,728,9480,0,0,168,7,2007,1644,6,7,0,1942,312,5,2,146500,0,1,1
Typ,1Fam,PConc,IR1,Gtl,Partial,CompShg,0,20,3,474,2,1976,14977,63,1,250,5,2007,1976,7,7,0,2006,908,8,1,440000,0,2,0
Typ,TwnhsE,PConc,Reg,Gtl,Normal,CompShg,0,160,1,491,3,264,2665,24,0,141,6,2008,1304,6,4,0,1976,336,5,1,115000,0,1,1
Typ,1Fam,PConc,Reg,Gtl,Normal,CompShg,0,20,1,499,3,864,7800,0,0,64,7,2009,899,6,5,0,1967,288,5,0,130000,0,1,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,20,1,510,3,1041,9600,88,1,224,6,2009,1041,7,6,0,1959,270,5,0,124500,0,1,0
Typ,TwnhsE,PConc,IR1,Gtl,Partial,CompShg,0,120,2,512,2,1368,6792,35,0,132,5,2006,1368,3,6,0,2005,474,7,1,202665,0,2,0
Typ,1Fam,CBlock,Reg,Gtl,Partial,CompShg,0,20,3,516,3,2006,12220,54,1,156,5,2009,2020,9,9,0,2009,900,10,1,402861,0,2,1
Typ,1Fam,PConc,IR1,Gtl,Normal,CompShg,0,60,2,537,3,880,8924,155,0,120,5,2008,1724,7,8,0,1998,527,7,0,188000,0,2,1
Mod,1Fam,CBlock,IR1,Gtl,Normal,CompShg,95,20,2,561,3,1392,11341,0,1,0,6,2010,1392,5,5,0,1957,528,5,1,121500,0,1,1
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,80,1,575,3,372,10500,0,0,35,7,2007,1109,12,5,0,1971,288,5,0,139000,0,1,0
Typ,1Fam,PConc,Reg,Gtl,Abnorml,CompShg,0,85,2,616,3,936,8800,0,1,120,7,2010,1054,5,6,0,1963,480,6,0,137500,0,1,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,60,2,622,4,1522,10800,243,0,38,7,2008,2614,6,9,0,1974,624,6,1,240000,0,2,1
Min1,1Fam,CBlock,IR1,Gtl,Normal,CompShg,0,20,1,627,3,978,12342,0,0,0,5,2007,1422,8,6,0,1960,286,5,1,139900,36,1,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,80,1,628,3,1156,9600,0,1,0,6,2010,1520,3,7,0,1955,364,6,2,153000,189,1,0
Typ,1Fam,BrkTil,Reg,Gtl,Abnorml,CompShg,0,70,1,631,3,636,9000,0,0,0,6,2006,1750,6,8,0,1880,240,5,0,124000,293,1,0
Typ,1Fam,PConc,IR2,Gtl,Partial,CompShg,0,20,3,665,1,2077,20896,267,1,192,5,2006,2097,1,8,0,2005,1134,8,1,423000,0,1,1
Sev,1Fam,CBlock,IR1,Gtl,Abnorml,Tar&Grv,0,60,2,667,3,1021,18450,265,0,0,5,2007,2380,8,7,0,1965,596,6,1,129000,0,2,1
Typ,1Fam,PConc,Reg,Gtl,Normal,CompShg,0,60,2,671,3,738,8633,35,1,100,5,2009,1476,2,7,0,2005,540,6,0,173500,0,2,1
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,20,1,675,3,1136,9200,0,1,426,6,2008,1136,7,5,0,1965,384,6,1,140000,0,1,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,30,1,697,2,616,6000,0,0,0,7,2006,616,6,4,0,1921,205,5,0,89000,129,1,0
Typ,1Fam,PConc,Reg,Gtl,Normal,CompShg,0,20,3,701,3,1800,14331,78,1,270,5,2006,1800,5,7,0,2002,765,8,1,312500,0,2,0
Typ,1Fam,PConc,IR1,Gtl,Partial,CompShg,0,60,3,703,4,1234,12438,100,0,324,5,2006,2576,7,10,0,2006,666,8,1,361919,0,2,1
Typ,1Fam,CBlock,IR1,Gtl,Normal,CompShg,0,60,2,715,3,725,13517,44,0,0,8,2010,1479,3,6,0,1976,475,6,0,130500,0,2,1
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,20,2,716,3,1064,10140,0,0,0,5,2009,1350,8,7,0,1974,478,6,1,165000,0,2,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,20,2,718,3,1176,10000,0,0,224,6,2008,1178,11,5,0,1973,439,5,1,157000,0,1,1
Typ,1Fam,PConc,Reg,Gtl,Normal,CompShg,0,20,2,728,2,1232,7314,0,1,132,5,2009,1232,2,6,0,2007,632,7,0,194500,0,2,0
Typ,1Fam,PConc,IR1,Gtl,Normal,CompShg,0,80,2,732,3,868,9590,22,1,160,5,2007,1146,5,6,0,2003,438,7,1,187500,0,2,0
Typ,Duplex,CBlock,Reg,Gtl,Normal,CompShg,0,90,2,737,2,0,8544,0,0,0,4,2006,1040,7,6,0,1950,400,3,0,93500,0,2,0
Typ,1Fam,Stone,IR1,Gtl,Normal,CompShg,0,70,4,748,4,1240,11700,0,0,181,7,2009,2640,5,8,0,1880,864,7,1,265979,386,1,1
Typ,1Fam,PConc,Reg,Gtl,Normal,CompShg,0,60,3,754,3,1030,10240,52,0,192,5,2006,2098,3,8,0,2005,878,8,1,275500,0,2,1
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,20,2,755,3,1026,7930,48,1,171,8,2009,1026,7,5,0,1969,440,6,0,156000,0,1,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,60,2,767,3,980,10421,66,0,228,5,2010,1714,3,7,0,1988,496,7,1,196500,156,2,1
Typ,1Fam,PConc,Reg,Gtl,Normal,CompShg,0,20,2,781,3,1237,7875,21,0,220,5,2007,1253,6,6,0,1995,402,7,1,176000,0,2,0
Typ,1Fam,PConc,IR1,Gtl,Normal,CompShg,0,85,2,784,1,1097,9101,30,1,303,6,2009,1110,7,4,0,1978,602,5,1,165500,0,1,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,30,2,802,2,1196,4800,0,1,0,7,2007,1196,7,5,0,1916,440,4,0,109900,0,1,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,80,2,809,3,1024,13400,0,1,0,5,2006,1086,6,6,0,1966,484,5,1,159950,0,1,0
Typ,1Fam,PConc,Reg,Gtl,Normal,CompShg,0,75,2,810,2,849,8100,156,0,40,5,2009,2138,11,11,0,1898,360,5,0,106000,0,2,0
Typ,1Fam,PConc,IR1,Gtl,Normal,CompShg,0,60,2,821,3,798,7226,45,0,0,5,2008,1640,6,6,0,2003,595,7,0,183000,0,2,1
Typ,1Fam,PConc,Reg,Gtl,Partial,CompShg,0,20,3,826,2,2078,14803,45,1,188,5,2008,2084,6,7,0,2007,1220,10,1,385000,0,2,0
Typ,1Fam,PConc,IR1,Gtl,Normal,CompShg,0,20,2,828,3,1454,8529,39,0,290,5,2009,1434,4,6,0,2001,527,7,1,189000,0,2,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,152,20,2,834,3,1516,10004,0,0,0,6,2009,1516,2,6,0,1964,472,6,0,167000,0,1,1
Typ,1Fam,PConc,Reg,Gtl,Normal,CompShg,0,70,2,842,3,650,10440,78,0,70,8,2008,1539,6,8,0,1904,686,5,1,157500,68,2,0
Typ,Duplex,CBlock,Reg,Gtl,Normal,CompShg,0,90,0,844,6,1800,8000,0,0,0,4,2007,1800,7,10,0,1961,0,5,0,141000,0,2,0
Typ,1Fam,BrkTil,IR1,Gtl,Normal,CompShg,0,50,3,845,4,876,12665,0,0,418,8,2008,1416,6,7,0,1915,720,5,1,153900,194,1,1
Typ,1Fam,PConc,Reg,Gtl,Normal,CompShg,0,60,2,847,3,740,9317,72,1,234,5,2009,1775,7,7,0,1993,425,7,1,213000,192,2,1
Typ,1Fam,BrkTil,IR2,Gtl,Normal,CompShg,175,50,2,849,5,907,45600,40,0,486,8,2008,2358,9,10,0,1908,360,6,1,240000,0,3,0
Typ,2fmCon,PConc,Reg,Gtl,Normal,CompShg,0,190,2,862,3,1039,11625,0,1,0,4,2010,1039,4,6,0,1965,504,5,0,131500,0,1,1
Typ,1Fam,PConc,IR1,Gtl,Partial,CompShg,0,20,3,867,3,1638,10656,80,0,192,5,2007,1646,11,6,0,2006,870,8,1,248900,0,2,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,20,1,871,2,894,6600,0,0,0,5,2009,894,8,5,0,1962,308,5,0,109500,0,1,0
Typ,1Fam,PConc,IR1,Mod,Normal,Tar&Grv,224,20,2,889,4,2217,15865,207,1,81,6,2007,2217,10,8,0,1970,621,8,1,268000,0,2,0
Typ,Duplex,Slab,Reg,Gtl,Alloca,CompShg,0,90,2,898,6,0,7018,0,0,154,5,2009,2240,6,12,0,1979,528,5,0,142953,0,2,0
Typ,1Fam,CBlock,Reg,Gtl,Abnorml,CompShg,0,20,1,917,1,480,9000,0,1,0,3,2006,480,10,4,0,1949,308,2,0,35311,0,0,0
Typ,1Fam,PConc,Reg,Gtl,Partial,CompShg,0,20,2,923,3,1316,10237,0,0,100,5,2006,1316,10,6,0,2005,397,6,1,169990,0,2,0
Typ,1Fam,PConc,IR1,Gtl,Normal,CompShg,0,60,2,942,3,992,8755,0,1,0,5,2009,2060,6,8,0,1999,390,7,1,214000,0,2,1
Typ,Duplex,PConc,IR1,Gtl,Abnorml,CompShg,0,90,0,943,4,1440,7711,0,2,321,3,2007,1440,8,8,0,1977,0,4,0,150000,0,2,0
Typ,1Fam,BrkTil,Reg,Gtl,Normal,CompShg,0,50,2,946,2,1088,8820,0,0,48,6,2009,1869,9,7,0,1890,456,5,0,124900,244,1,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,20,2,950,3,1161,9360,0,1,0,7,2010,1381,3,5,0,1972,676,6,1,197500,0,1,1
Typ,1Fam,CBlock,IR1,Gtl,Normal,CompShg,0,60,2,962,4,1330,12227,282,1,550,7,2008,2872,7,11,0,1977,619,6,1,272000,0,2,1
Typ,1Fam,BrkTil,IR1,Gtl,Normal,CompShg,0,70,2,975,3,728,11414,135,0,509,8,2009,2019,10,8,0,1910,532,7,0,167500,0,1,0
Typ,1Fam,PConc,IR1,Gtl,Normal,CompShg,0,60,3,982,4,1225,12203,0,1,250,5,2009,2612,7,8,0,1998,676,8,1,336000,0,2,1
Typ,1Fam,CBlock,IR1,Gtl,Normal,CompShg,0,20,1,997,3,1050,10659,319,1,0,6,2006,1050,1,6,0,1961,368,5,0,136500,0,1,0
Typ,Duplex,CBlock,Reg,Gtl,Normal,CompShg,0,90,0,1012,4,0,9825,0,0,0,5,2010,1664,5,8,0,1965,0,5,0,100000,0,2,0
Maj2,1Fam,BrkTil,Reg,Gtl,Normal,CompShg,0,30,1,1014,2,1022,7200,30,1,0,4,2009,1022,6,4,0,1910,280,5,0,85000,226,1,0
Typ,1Fam,CBlock,IR1,Gtl,Abnorml,WdShake,0,20,2,1025,2,1565,15498,72,1,0,6,2008,2898,5,10,0,1976,665,8,1,287000,174,2,0
Typ,1Fam,PConc,IR1,Gtl,Partial,CompShg,0,20,3,1028,3,1638,9520,44,1,192,5,2008,1646,4,7,0,2007,800,8,1,293077,0,2,0
Typ,1Fam,BrkTil,Reg,Gtl,Normal,CompShg,0,75,2,1032,5,824,15863,63,1,136,3,2009,3082,8,12,0,1920,672,7,2,197000,0,2,1
Min1,1Fam,Slab,Reg,Gtl,Normal,CompShg,0,20,2,1049,3,0,21750,0,0,0,4,2009,1771,11,9,0,1960,336,5,1,115000,0,1,0
Typ,1Fam,CBlock,Reg,Gtl,Abnorml,CompShg,0,20,1,1050,2,0,11100,0,0,0,7,2010,930,4,6,0,1946,308,4,0,84900,0,1,0
Typ,1Fam,PConc,IR1,Gtl,Normal,CompShg,0,60,3,1059,3,1104,11308,102,1,0,5,2009,2184,7,10,0,2008,836,9,1,335000,0,2,1
Typ,TwnhsE,PConc,Reg,Gtl,Normal,CompShg,0,120,2,1061,2,1338,4920,0,1,0,5,2010,1338,4,6,0,2001,582,8,0,213500,170,2,0
Typ,1Fam,BrkTil,Reg,Gtl,Normal,CompShg,0,30,2,1064,2,1103,6000,120,0,166,6,2006,1103,7,5,0,1925,440,6,1,110500,0,1,0
Typ,1Fam,CBlock,IR1,Gtl,Abnorml,CompShg,0,20,1,1078,3,1096,15870,32,1,240,5,2006,1096,3,6,0,1969,299,5,0,138800,0,1,0
Typ,TwnhsE,PConc,Reg,Gtl,Normal,CompShg,0,120,2,1079,1,848,4435,0,1,140,5,2006,848,5,3,0,2004,420,6,1,155900,0,1,0
Typ,1Fam,CBlock,Reg,Gtl,Abnorml,CompShg,0,20,2,1081,3,1258,11040,0,0,55,7,2008,1258,10,5,0,1971,528,6,0,145000,0,2,0
Typ,TwnhsE,PConc,IR1,Gtl,Normal,CompShg,0,120,2,1090,1,1247,3316,84,1,0,5,2006,1247,4,4,0,2005,550,8,1,197000,0,1,1
Typ,Duplex,Slab,Reg,Gtl,Normal,CompShg,0,90,2,1091,2,0,8544,0,0,0,4,2009,1040,6,6,0,1950,400,3,0,92900,0,2,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,160,20,1,1095,2,936,5868,0,1,0,7,2010,936,5,4,0,1956,308,5,0,129000,80,1,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,20,2,1104,3,655,8910,0,0,0,6,2006,1194,7,6,0,1959,539,6,1,159500,192,1,0
Typ,1Fam,PConc,IR3,Gtl,Partial,CompShg,0,60,2,1108,3,868,23257,100,0,0,5,2006,2021,9,9,0,2006,422,7,1,274725,0,2,1
Typ,1Fam,PConc,Reg,Gtl,Abnorml,CompShg,0,60,2,1109,3,924,8063,48,0,100,5,2007,1690,11,7,0,2000,463,6,1,181000,0,2,1
Typ,1Fam,PConc,Reg,Gtl,Normal,CompShg,0,60,2,1111,3,773,8000,84,1,224,5,2008,1658,6,8,0,1995,431,6,1,188000,0,2,1
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,20,1,1115,2,833,5400,0,0,0,7,2006,833,8,4,0,1954,326,5,0,117000,0,1,0
Typ,1Fam,CBlock,Reg,Gtl,Abnorml,CompShg,0,50,1,1137,3,1032,9600,0,0,0,5,2008,1252,4,6,0,1950,288,6,0,119000,96,1,0
Typ,1Fam,BrkTil,Reg,Gtl,Family,CompShg,0,50,1,1146,3,1042,6240,0,0,0,6,2006,1576,8,8,0,1928,225,5,1,149000,0,1,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,20,2,1147,3,1298,11200,26,1,165,5,2006,1298,5,5,0,1985,403,6,1,180000,0,2,0
Typ,1Fam,PConc,Reg,Gtl,Partial,CompShg,0,20,3,1159,3,1580,11932,24,0,0,5,2008,1580,6,7,0,2007,830,8,0,235128,0,2,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,20,2,1163,3,894,8724,0,0,0,5,2007,894,5,5,0,1968,450,5,1,129000,0,1,0
Typ,1Fam,PConc,IR1,Gtl,Normal,CompShg,0,80,2,1165,2,1360,16157,180,1,168,7,2007,1432,6,5,0,1978,588,5,1,194000,0,1,1
