MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Lot_Config,Land_Slope,Condition_1,Bldg_Type,House_Style,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Cond,Foundation,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,TotRms_AbvGrd,Functional,Fireplaces,Garage_Type,Garage_Finish,Garage_Cars,Garage_Area,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Fence,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Price,Longitude,Latitude
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,65,8450,Pave,No_Alley_Access,Regular,Lvl,Inside,Gtl,Norm,OneFam,One_Story,Above_Average,1968,1968,Gable,VinylSd,VinylSd,None,0,Typical,CBlock,Typical,No,BLQ,2,Unf,0,281,1056,Excellent,Y,SBrkr,1056,0,1056,1,0,1,0,3,1,6,Typ,1,Attchd,Unf,1,304,Typical,Paved,0,85,184,0,0,0,No_Fence,0,7,2010,WD,142000,-93.628806,42.055227
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70,8400,Pave,No_Alley_Access,Regular,Lvl,Corner,Gtl,Norm,OneFam,One_Story,Average,1970,1970,Gable,Plywood,Plywood,None,0,Typical,CBlock,Typical,No,ALQ,1,Rec,78,0,882,Typical,Y,SBrkr,882,0,882,1,0,1,0,2,1,4,Typ,0,Attchd,Fin,2,525,Typical,Paved,240,0,0,0,0,0,Minimum_Privacy,0,4,2010,WD,126000,-93.627112,42.053395
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70,10500,Pave,No_Alley_Access,Regular,Lvl,FR2,Gtl,Norm,OneFam,One_Story,Average,1971,1971,Gable,HdBoard,HdBoard,None,0,Typical,CBlock,Typical,No,ALQ,1,Unf,0,432,864,Typical,Y,SBrkr,864,0,864,0,0,1,0,3,1,5,Typ,1,No_Garage,No_Garage,0,0,No_Garage,Paved,0,0,0,0,0,0,No_Fence,0,4,2010,ConLI,115000,-93.622769,42.056375
One_Story_PUD_1946_and_Newer,Residential_High_Density,26,5858,Pave,No_Alley_Access,Slightly_Irregular,Lvl,FR2,Gtl,Norm,TwnhsE,One_Story,Average,1999,1999,Gable,MetalSd,MetalSd,None,0,Typical,PConc,Typical,No,GLQ,3,BLQ,0,354,1405,Excellent,Y,SBrkr,1337,0,1337,1,0,2,0,2,1,5,Typ,1,Attchd,Fin,2,511,Typical,Paved,203,68,0,0,0,0,No_Fence,0,6,2010,WD,184000,-93.624373,42.055318
One_Story_PUD_1946_and_Newer,Residential_Low_Density,53,4043,Pave,No_Alley_Access,Regular,Lvl,Inside,Gtl,Norm,TwnhsE,One_Story,Average,1977,1977,Gable,Plywood,Plywood,None,0,Typical,CBlock,Typical,No,ALQ,1,Unf,0,709,1069,Typical,Y,SBrkr,1069,0,1069,0,0,2,0,2,1,4,Typ,1,Attchd,RFn,2,440,Typical,Paved,0,55,0,0,165,0,No_Fence,0,7,2010,WD,127500,-93.627232,42.049672
Two_Story_PUD_1946_and_Newer,Residential_Low_Density,24,2280,Pave,No_Alley_Access,Regular,Lvl,FR2,Gtl,Norm,Twnhs,Two_Story,Above_Average,1975,1975,Gable,Plywood,Brk Cmn,None,0,Typical,CBlock,Typical,No,ALQ,1,Unf,0,341,855,Typical,Y,SBrkr,855,601,1456,0,0,2,1,3,1,6,Typ,1,Attchd,Unf,2,440,Typical,Paved,173,0,0,0,0,0,No_Fence,0,6,2010,WD,149900,-93.625924,42.050683
One_Story_PUD_1946_and_Newer,Residential_Low_Density,24,2280,Pave,No_Alley_Access,Regular,Lvl,FR2,Gtl,Norm,Twnhs,One_Story,Above_Average,1975,1975,Gable,Plywood,Brk Cmn,None,0,Typical,CBlock,Typical,No,Unf,7,Unf,0,836,836,Excellent,Y,SBrkr,836,0,836,0,0,1,0,2,1,4,Typ,0,Attchd,Unf,1,308,Typical,Paved,0,30,0,0,0,0,No_Fence,0,6,2010,WD,120000,-93.625966,42.050681
Two_Story_PUD_1946_and_Newer,Residential_Low_Density,24,2280,Pave,No_Alley_Access,Regular,Lvl,Inside,Gtl,Norm,Twnhs,Two_Story,Average,1978,1978,Gable,Plywood,Brk Cmn,None,0,Typical,CBlock,Typical,No,ALQ,1,Unf,0,544,855,Fair,Y,SBrkr,855,601,1456,0,0,2,1,3,1,7,Typ,1,Attchd,Unf,2,440,Typical,Paved,26,0,0,0,0,0,No_Fence,0,7,2010,WD,146000,-93.625848,42.049811
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,90,11520,Pave,No_Alley_Access,Regular,Lvl,Inside,Gtl,PosN,OneFam,One_Story,Average,2005,2005,Hip,VinylSd,VinylSd,BrkFace,615,Typical,PConc,Typical,No,GLQ,3,Unf,0,1588,1698,Excellent,Y,SBrkr,1698,0,1698,0,0,2,0,3,1,7,Typ,1,Attchd,Fin,3,730,Typical,Paved,192,74,0,0,0,0,No_Fence,0,6,2010,WD,275000,-93.65332,42.0608079
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,79,14122,Pave,No_Alley_Access,Slightly_Irregular,Lvl,Inside,Gtl,Norm,OneFam,One_Story,Average,2005,2006,Hip,CemntBd,CmentBd,BrkFace,240,Typical,PConc,Typical,No,GLQ,3,Unf,0,1794,1822,Excellent,Y,SBrkr,1822,0,1822,0,0,2,0,3,1,8,Typ,1,Attchd,RFn,3,678,Typical,Paved,0,119,0,0,0,0,No_Fence,0,2,2010,WD,259000,-93.652336,42.060879
Two_Story_1946_and_Newer,Residential_Low_Density,105,13650,Pave,No_Alley_Access,Regular,Lvl,Corner,Gtl,Norm,OneFam,Two_Story,Average,2002,2002,Gable,VinylSd,VinylSd,BrkFace,232,Typical,PConc,Typical,Gd,GLQ,3,Unf,0,1093,1671,Excellent,Y,SBrkr,1687,563,2250,1,0,2,1,3,1,7,Typ,1,Attchd,Fin,3,756,Typical,Paved,238,130,0,0,0,0,No_Fence,0,6,2010,WD,320000,-93.654853,42.057102
One_Story_PUD_1946_and_Newer,Residential_Low_Density,41,7132,Pave,No_Alley_Access,Slightly_Irregular,Lvl,Inside,Gtl,Norm,TwnhsE,One_Story,Average,2006,2006,Gable,VinylSd,VinylSd,Stone,178,Typical,PConc,Typical,Mn,GLQ,3,Unf,0,1346,1370,Excellent,Y,SBrkr,1370,0,1370,0,0,2,0,2,1,6,Typ,1,Attchd,RFn,2,484,Typical,Paved,120,49,0,0,0,0,No_Fence,0,4,2010,WD,205000,-93.649447,42.058252
Two_Story_PUD_1946_and_Newer,Residential_Low_Density,36,2628,Pave,No_Alley_Access,Regular,Lvl,Inside,Gtl,Norm,Twnhs,Two_Story,Average,2003,2003,Gable,VinylSd,Wd Shng,Stone,106,Typical,PConc,Typical,No,Unf,7,Unf,0,764,764,Excellent,Y,SBrkr,764,862,1626,0,0,2,1,2,1,6,Typ,0,BuiltIn,RFn,2,474,Typical,Paved,0,27,0,0,0,0,No_Fence,0,6,2010,WD,175500,-93.651013,42.057181
One_Story_PUD_1946_and_Newer,Residential_Low_Density,43,3203,Pave,No_Alley_Access,Regular,Lvl,Inside,Gtl,Norm,TwnhsE,One_Story,Average,2006,2006,Gable,VinylSd,VinylSd,BrkFace,14,Typical,PConc,Typical,Av,GLQ,3,Unf,0,1129,1145,Excellent,Y,SBrkr,1145,0,1145,0,0,2,0,2,1,6,Typ,0,Attchd,Fin,2,437,Typical,Paved,100,116,0,0,0,0,No_Fence,0,1,2010,WD,160000,-93.641635,42.06257
One_Story_PUD_1946_and_Newer,Residential_Low_Density,43,3182,Pave,No_Alley_Access,Regular,Lvl,Inside,Gtl,Norm,TwnhsE,One_Story,Average,2004,2005,Gable,VinylSd,VinylSd,BrkFace,16,Typical,PConc,Typical,No,GLQ,3,Unf,0,1232,1256,Excellent,Y,SBrkr,1269,0,1269,0,0,2,0,2,1,6,Typ,1,Attchd,Fin,2,430,Typical,Paved,146,20,0,0,144,0,No_Fence,0,4,2010,WD,192000,-93.642252,42.062303
Split_or_Multilevel,Residential_Low_Density,67,13300,Pave,No_Alley_Access,Slightly_Irregular,Lvl,Inside,Gtl,Norm,OneFam,SLvl,Average,2004,2004,Gable,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,GLQ,3,Unf,0,58,384,Excellent,Y,SBrkr,744,630,1374,1,0,2,1,3,1,7,Typ,1,BuiltIn,Fin,2,400,Typical,Paved,100,0,0,0,0,0,No_Fence,0,6,2010,WD,184500,-93.644076,42.061443
Two_Story_1946_and_Newer,Residential_Low_Density,0,7851,Pave,No_Alley_Access,Regular,Lvl,Inside,Gtl,Norm,OneFam,Two_Story,Average,2002,2002,Gable,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,GLQ,3,Unf,0,235,860,Excellent,Y,SBrkr,860,1100,1960,1,0,2,1,4,1,8,Typ,2,BuiltIn,Fin,2,440,Typical,Paved,288,48,0,0,0,0,No_Fence,0,5,2010,WD,216500,-93.641487,42.060977
Two_Story_1946_and_Newer,Residential_Low_Density,63,8577,Pave,No_Alley_Access,Slightly_Irregular,Lvl,Inside,Gtl,Norm,OneFam,Two_Story,Average,2004,2004,Gable,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,Unf,7,Unf,0,847,847,Excellent,Y,SBrkr,847,886,1733,0,0,2,1,3,1,7,Typ,1,BuiltIn,Fin,2,433,Typical,Paved,144,48,0,0,0,0,No_Fence,0,4,2010,WD,185088,-93.642447,42.061193
Split_or_Multilevel,Residential_Low_Density,0,7750,Pave,No_Alley_Access,Slightly_Irregular,Lvl,Inside,Gtl,Norm,OneFam,SLvl,Average,2000,2000,Gable,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,GLQ,3,Unf,0,134,384,Excellent,Y,SBrkr,774,656,1430,0,0,2,1,3,1,7,Typ,1,BuiltIn,Fin,2,400,Typical,Paved,180,0,0,0,0,0,No_Fence,0,4,2010,WD,180000,-93.641325,42.060936
Two_Story_1946_and_Newer,Residential_Low_Density,108,14774,Pave,No_Alley_Access,Slightly_Irregular,Lvl,Corner,Gtl,Norm,OneFam,Two_Story,Average,1999,1999,Gable,VinylSd,VinylSd,BrkFace,165,Typical,PConc,Typical,No,Unf,7,Unf,0,1393,1393,Excellent,Y,SBrkr,1422,1177,2599,0,0,2,1,4,1,10,Typ,1,BuiltIn,Fin,3,779,Typical,Paved,668,30,0,0,0,0,No_Fence,0,5,2010,WD,333168,-93.651381,42.054386
Two_Story_1946_and_Newer,Residential_Low_Density,60,17433,Pave,No_Alley_Access,Moderately_Irregular,Lvl,CulDSac,Gtl,Norm,OneFam,Two_Story,Average,1998,1998,Hip,VinylSd,VinylSd,BrkFace,114,Typical,PConc,Typical,No,Unf,7,Unf,0,1629,1629,Excellent,Y,SBrkr,1645,830,2475,0,0,2,1,4,1,7,Typ,1,Attchd,Fin,3,962,Typical,Paved,23,172,0,0,256,0,No_Fence,0,1,2010,WD,355000,-93.652334,42.053243
Two_Story_1946_and_Newer,Residential_Low_Density,98,12256,Pave,No_Alley_Access,Slightly_Irregular,Lvl,Corner,Gtl,Norm,OneFam,Two_Story,Average,1994,1995,Gable,HdBoard,HdBoard,BrkFace,362,Typical,PConc,Typical,Av,GLQ,3,Unf,0,431,1463,Excellent,Y,SBrkr,1500,1122,2622,1,0,2,1,3,1,9,Typ,2,Attchd,RFn,2,712,Typical,Paved,186,32,0,0,0,0,No_Fence,0,4,2010,WD,325000,-93.653616,42.051674
Two_Story_1946_and_Newer,Residential_Low_Density,92,11764,Pave,No_Alley_Access,Slightly_Irregular,Lvl,CulDSac,Gtl,Norm,OneFam,Two_Story,Good,1999,2007,Gable,VinylSd,VinylSd,BrkFace,348,Typical,PConc,Typical,No,GLQ,3,Unf,0,628,1152,Excellent,Y,SBrkr,1164,1106,2270,0,0,2,1,4,1,9,Typ,1,Attchd,Fin,3,671,Typical,Paved,132,57,0,0,0,0,No_Fence,0,4,2010,WD,290000,-93.650356,42.052457
Two_Story_1946_and_Newer,Residential_Low_Density,58,16770,Pave,No_Alley_Access,Moderately_Irregular,Lvl,CulDSac,Gtl,Norm,OneFam,Two_Story,Average,1998,1998,Gable,VinylSd,VinylSd,BrkFace,30,Typical,PConc,Typical,No,Unf,7,Unf,0,1195,1195,Good,Y,SBrkr,1195,644,1839,0,0,2,1,4,1,7,Typ,0,Attchd,Fin,2,486,Typical,Paved,0,81,0,0,0,0,No_Fence,0,6,2010,WD,221000,-93.650578,42.052437
One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,56,14720,Pave,No_Alley_Access,Slightly_Irregular,Lvl,CulDSac,Gtl,Norm,OneFam,One_and_Half_Fin,Average,1995,1996,Hip,VinylSd,VinylSd,BrkFace,579,Typical,PConc,Typical,Av,GLQ,3,Unf,0,1217,2033,Excellent,Y,SBrkr,2053,1185,3238,1,0,2,1,4,1,9,Typ,1,Attchd,Fin,3,666,Typical,Paved,283,86,0,0,0,0,No_Fence,0,3,2010,WD,410000,-93.652972,42.050909
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,73,8987,Pave,No_Alley_Access,Regular,Lvl,Inside,Gtl,Norm,OneFam,One_Story,Average,2005,2006,Gable,VinylSd,VinylSd,BrkFace,226,Typical,PConc,Typical,No_Basement,Unf,7,Unf,0,1595,1595,Excellent,Y,SBrkr,1595,0,1595,0,0,2,0,2,1,6,Typ,1,Attchd,RFn,3,880,Typical,Paved,144,0,0,0,0,0,No_Fence,0,5,2010,WD,221500,-93.642368,42.05306
Two_Story_1946_and_Newer,Floating_Village_Residential,72,8640,Pave,No_Alley_Access,Regular,Lvl,Inside,Gtl,Norm,OneFam,Two_Story,Average,2009,2009,Gable,VinylSd,VinylSd,None,0,Typical,PConc,Typical,Mn,GLQ,3,Unf,0,732,756,Excellent,Y,SBrkr,764,783,1547,0,0,2,1,3,1,7,Typ,0,Attchd,Unf,2,614,Typical,Paved,169,45,0,0,0,0,No_Fence,0,6,2010,Con,215200,-93.650318,42.051653
One_Story_1946_and_Newer_All_Styles,Floating_Village_Residential,75,9000,Pave,No_Alley_Access,Regular,Lvl,Inside,Gtl,Norm,OneFam,One_Story,Average,2008,2008,Gable,VinylSd,VinylSd,Stone,36,Typical,PConc,Typical,Av,GLQ,3,Unf,0,488,1566,Excellent,Y,SBrkr,1566,0,1566,1,0,2,0,3,1,7,Typ,0,Attchd,RFn,2,750,Typical,Paved,144,168,0,0,0,0,No_Fence,0,4,2010,WD,262500,-93.647105,42.050084
Two_Story_1946_and_Newer,Floating_Village_Residential,100,12552,Pave,No_Alley_Access,Regular,Lvl,Corner,Gtl,Norm,OneFam,Two_Story,Average,2004,2005,Gable,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,GLQ,3,Unf,0,769,991,Excellent,Y,SBrkr,991,956,1947,0,0,2,1,3,1,8,Typ,1,Attchd,RFn,2,678,Typical,Paved,0,136,0,0,0,0,Good_Wood,0,5,2010,WD,254900,-93.642773,42.052347
Two_Story_1946_and_Newer,Residential_Low_Density,76,10142,Pave,No_Alley_Access,Slightly_Irregular,Lvl,Inside,Gtl,Norm,OneFam,Two_Story,Average,2004,2004,Gable,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,GLQ,3,Unf,0,300,956,Excellent,Y,SBrkr,956,1128,2084,1,0,2,1,4,1,8,Typ,0,BuiltIn,RFn,2,618,Typical,Paved,0,45,0,0,0,0,No_Fence,0,1,2010,WD,233000,-93.692309,42.036255
Two_Story_1946_and_Newer,Residential_Low_Density,70,11920,Pave,No_Alley_Access,Regular,Lvl,Inside,Gtl,Norm,OneFam,Two_Story,Average,2004,2004,Gable,VinylSd,VinylSd,BrkFace,122,Typical,PConc,Typical,Av,Unf,7,Unf,0,831,831,Excellent,Y,SBrkr,831,828,1659,0,0,2,1,3,1,8,Typ,0,Attchd,RFn,2,484,Typical,Paved,144,68,0,0,0,0,No_Fence,0,4,2010,WD,181000,-93.692412,42.036113
Two_Story_1946_and_Newer,Residential_Low_Density,0,8880,Pave,No_Alley_Access,Slightly_Irregular,Lvl,Inside,Gtl,Norm,OneFam,Two_Story,Average,1994,2002,Gable,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,GLQ,3,Unf,0,253,948,Excellent,Y,SBrkr,1222,888,2110,1,0,2,1,3,1,8,Typ,2,Attchd,RFn,2,463,Typical,Paved,0,130,0,0,0,0,No_Fence,0,5,2010,WD,205000,-93.68981,42.036026
One_Story_PUD_1946_and_Newer,Residential_Low_Density,50,8012,Pave,No_Alley_Access,Regular,Lvl,Inside,Gtl,Norm,TwnhsE,One_Story,Average,1980,1980,Gable,Plywood,Plywood,None,0,Typical,CBlock,Typical,No,BLQ,2,BLQ,119,261,923,Typical,Y,SBrkr,923,0,923,0,0,2,0,2,1,5,Typ,1,Attchd,RFn,1,264,Typical,Paved,80,0,0,0,0,0,No_Fence,0,5,2010,WD,143000,-93.686417,42.03548
One_Story_PUD_1946_and_Newer,Residential_Low_Density,55,7892,Pave,No_Alley_Access,Regular,Lvl,Inside,Gtl,Norm,TwnhsE,One_Story,Average,1979,1979,Gable,Plywood,Plywood,None,0,Typical,CBlock,Typical,No,Unf,7,Unf,0,918,918,Typical,Y,SBrkr,918,0,918,0,0,2,0,2,1,5,Typ,1,Attchd,Unf,1,264,Typical,Paved,28,0,0,0,0,0,No_Fence,0,4,2010,WD,99500,-93.686263,42.034589
One_Story_PUD_1946_and_Newer,Residential_Low_Density,50,7175,Pave,No_Alley_Access,Regular,Lvl,Inside,Gtl,Norm,TwnhsE,One_Story,Average,1984,1984,Gable,Plywood,Plywood,None,0,Typical,CBlock,Typical,No,ALQ,1,LwQ,121,0,744,Typical,Y,SBrkr,752,0,752,1,0,1,0,2,1,4,Typ,0,Attchd,Unf,1,264,Typical,Paved,353,0,0,0,90,0,Minimum_Privacy,0,2,2010,WD,125000,-93.686264,42.0347
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,81,9672,Pave,No_Alley_Access,Regular,Lvl,Corner,Gtl,Norm,OneFam,One_Story,Average,1984,1985,Hip,HdBoard,Plywood,None,0,Typical,PConc,Typical,No,GLQ,3,Unf,0,702,1040,Typical,Y,SBrkr,1097,0,1097,0,0,2,0,3,1,6,Typ,0,Attchd,Unf,2,480,Typical,Paved,0,0,0,0,0,0,Good_Privacy,0,5,2010,WD,152000,-93.685028,42.034555
